"DigiRAMP Category","DigiRAMP Genre","Ngrove Category","Ngrove Genre","iTunes Category","iTunes Genre"
"Country","Alternative Country","Country","Alt. Country ","Country","Alternative Country"
"Country","Americana","Country","Americana","Country","Americana"
"Country","Bluegrass","Country","Bluegrass","Country","Bluegrass"
"Country","Contemporary Bluegrass",,,"Country","Contemporary Bluegrass"
"Country","Contemporary Country","Country","Country (Contemporary)","Country","Contemporary Country"
"Country","Country Gospel",,,"Country","Country Gospel"
"Country","Honky Tonk",,,"Country","Honky Tonk"
"Country","Outlaw Country",,,"Country","Outlaw Country"
"Country","Traditional Bluegrass",,,"Country","Traditional Bluegrass"
"Country","Traditional Country","Country","Country (Traditional)","Country","Traditional Country"
"Country","Urban Cowboy",,,"Country","Urban Cowboy"
,,"Country","Country Rock",,
,,,,,
,,,,,
"Dance","Exercise",,,"Dance","Exercise"
"Dance","Hardcore",,,"Dance","Hardcore"
"Dance","Jungle/Drum’n’bass",,,"Dance","Jungle/Drum’n’bass"
,,,,,
,,,,,
"Easy Listening","Easy Listening","Easy Listening","Easy Listening","Easy Listening","Easy Listening"
"Easy Listening","Bop",,,"Easy Listening","Bop"
"Easy Listening","Lounge",,,"Easy Listening","Lounge"
"Easy Listening","Swing",,,"Easy Listening","Swing"
,,,,,
"Educational","Educational","Educational","Educational",,
,,,,,
,,,,,
"Electronic","Electronic","Electronic","Electronic","Electronic","Electronic"
"Electronic","Ambient","Electronic","Ambient","Electronic","Ambient"
"Electronic","Downtempo","Electronic","Downtempo","Electronic","Downtempo"
"Electronic","Electronica","Electronic","Electronica","Electronic","Electronica"
"Electronic","IDM/Experimental",,,"Electronic","IDM/Experimental"
"Electronic","Industrial",,,"Electronic","Industrial"
"Electronic","2 Step","Electronic","2 Step",,
"Electronic","Acid House","Electronic","Acid House",,
"Electronic","Beats & Breaks","Electronic","Beats & Breaks","Dance","Breakbeat"
"Electronic","Breaks","Electronic","Breaks",,
"Electronic","Broken Beat","Electronic","Broken Beat",,
"Electronic","Dance","Electronic","Dance","Dance","Dance"
"Electronic","Deep House","Electronic","Deep House",,
"Electronic","Disco","Electronic","Disco",,
"Electronic","Drum & Bass","Electronic","Drum & Bass",,
"Electronic","Electro House","Electronic","Electro House",,
"Electronic","Electronic Lounge","Electronic","Electronic Lounge",,
"Electronic","Experimental","Electronic","Experimental",,
"Electronic","Funky Breaks","Electronic","Funky Breaks",,
"Electronic","Funky House","Electronic","Funky House",,
"Electronic","Garage","Electronic","Garage","Dance","Garage"
"Electronic","Glitch","Electronic","Glitch",,
"Electronic","Hard House","Electronic","Hard House",,
"Electronic","House","Electronic","House","Dance","House"
"Electronic","Leftfield/IDM","Electronic","Leftfield/IDM",,
"Electronic","Miami Bass","Electronic","Miami Bass",,
"Electronic","Minimal Techno","Electronic","Minimal Techno",,
"Electronic","Nu Skool Breaks","Electronic","Nu Skool Breaks",,
"Electronic","Progressive House","Electronic","Progressive House",,
"Electronic","Progressive Trance","Electronic","Progressive Trance",,
"Electronic","Psy Trance","Electronic","Psy Trance",,
"Electronic","Tech House","Electronic","Tech House",,
"Electronic","Techno","Electronic","Techno","Dance","Techno"
"Electronic","Trance","Electronic","Trance","Dance","Trance"
"Electronic","Tribal House","Electronic","Tribal House",,
"Electronic","Trip Hop","Electronic","Trip Hop",,
,,,,,
,,,,,
"Folk ","Folk ","Folk ","Folk ",,
"Folk ","Cajun/Zydeco","Folk ","Cajun/Zydeco",,
"Folk ","Folk (Singer/Songwriter)","Folk ","Folk (Singer/Songwriter)",,
,,,,,
,,,,,
"Holiday Music","Holiday Music","Holiday Music","Holiday Music","Holiday","Holiday"
,"Chanukah",,,,"Chanukah"
,"Christmas",,,,"Christmas"
,"Christmas: Children’s",,,,"Christmas: Children’s"
,"Christmas: Classic",,,,"Christmas: Classic"
,"Christmas: Classical",,,,"Christmas: Classical"
,"Christmas: Jazz",,,,"Christmas: Jazz"
,"Christmas: Modern",,,,"Christmas: Modern"
,"Christmas: Pop",,,,"Christmas: Pop"
,"Christmas: R&B",,,,"Christmas: R&B"
,"Christmas: Religious",,,,"Christmas: Religious"
,"Christmas: Rock",,,,"Christmas: Rock"
,"Easter",,,,"Easter"
,"Halloween",,,,"Halloween"
,"Holiday: Other",,,,"Holiday: Other"
,"Thanksgiving",,,,"Thanksgiving"
,,,,,
"Industrial","Industrial","Industrial","Industrial","Industrial","Industrial"
,,,,,
,,,,,
"Inspirational ","Inspirational ","Inspirational ","Inspirational ",,
"Inspirational ","Self Help","Inspirational ","Self Help",,
"Inspirational ","Spiritual","Inspirational ","Spiritual",,
,,,,,
"Instructional","Instructional","Instructional","Instructional",,
,,,,,
,,,,,
"Jazz","Jazz","Jazz","Jazz","Jazz","Jazz"
"Jazz","Acid Jazz","Jazz","Acid Jazz",,
"Jazz","Big Band","Jazz","Big Band","Jazz","Big Band"
"Jazz","Bossa Nova","Jazz","Bossa Nova",,
"Jazz","Jazz (Contemporary)","Jazz","Jazz (Contemporary)","Jazz","Contemporary Jazz"
"Jazz","Jazz (Traditional) ","Jazz","Jazz (Traditional) ",,
"Jazz","Latin Jazz","Jazz","Latin Jazz","Jazz","Latin Jazz"
"Jazz","Swing","Jazz","Swing",,
"Jazz","Vocal Jazz","Jazz","Vocal Jazz",,
"Jazz","Avant-Garde Jazz",,,"Jazz","Avant-Garde Jazz"
"Jazz","Crossover Jazz",,,"Jazz","Crossover Jazz"
"Jazz","Dixieland",,,"Jazz","Dixieland"
"Jazz","Fusion",,,"Jazz","Fusion"
"Jazz","Mainstream Jazz",,,"Jazz","Mainstream Jazz"
"Jazz","Ragtime",,,"Jazz","Ragtime"
"Jazz","Smooth Jazz",,,"Jazz","Smooth Jazz"
"Jazz","Hard Bop",,,"Jazz","Hard Bop"
"Jazz","Trad Jazz",,,"Jazz","Trad Jazz"
"Jazz","Cool",,,"Jazz","Cool"
,,,,,
,,,,,
,,,,,
"Latino","Latin Jazz",,,"Latino","Latin Jazz"
"Latino","Contemporary Latin",,,"Latino","Contemporary Latin"
"Latino","Raíces",,,"Latino","Raíces"
"Latino","Reggaeton y Hip-Hop",,,"Latino","Reggaeton y Hip-Hop"
"Latino","Baladas y Boleros",,,"Latino","Baladas y Boleros"
"Latino","Alternativo & Rock Latino",,,"Latino","Alternativo & Rock Latino"
"Latino","Salsa y Tropical",,,"Latino","Salsa y Tropical"
,,,,,
,,,,,
,,,,,
"Latin ","Latin ","Latin ","Latin ","Latino","Latino"
"Latin ","Bacheta","Latin ","Bacheta",,
"Latin ","Latin Pop","Latin ","Latin Pop","Latino","Pop Latino"
"Latin ","Mambo","Latin ","Mambo",,
"Latin ","Mariachi","Latin ","Mariachi",,
"Latin ","Mexican","Latin ","Mexican","Latino","Regional Mexicano"
"Latin ","Ranchera, Merengue","Latin ","Ranchera, Merengue",,
"Latin ","Salsa","Latin ","Salsa",,
"Latin ","Samba","Latin ","Samba",,
"Latin ","Tango","Latin ","Tango",,
,,,,,
"New Age","New Age",,,"New Age","New Age"
"New Age","Environmental",,,"New Age","Environmental"
"New Age","Healing",,,"New Age","Healing"
"New Age","Meditation",,,"New Age","Meditation"
"New Age","Nature",,,"New Age","Nature"
"New Age","Relaxation",,,"New Age","Relaxation"
"New Age","Travel",,,"New Age","Travel"
,,,,,
,,,,,
,,,,,
"Oldies ","Oldies ","Oldies ","Oldies ",,
"Oldies ","50's","Oldies ","50's",,
"Oldies ","60's ","Oldies ","60's ",,
"Oldies ","70’s","Oldies ","70’s",,
"Oldies ","80’s","Oldies ","80’s",,
"Oldies ","Classic Lounge","Oldies ","Classic Lounge",,
,,,,,
"Pop","Pop","Pop","Pop","Pop","Pop"
"Pop","Adult Contemporary",,,"Pop","Adult Contemporary"
"Pop","Britpop","Pop","Brit Pop","Pop","Britpop"
"Pop","Pop/Rock",,,"Pop","Pop/Rock"
"Pop","Soft Rock",,,"Pop","Soft Rock"
"Pop","Teen Pop",,,"Pop","Teen Pop"
"Pop","Electropop","Pop","Electropop",,
"Pop","Pop (Singer/Songwriter) ","Pop","Pop (Singer/Songwriter) ",,
,,,,,
,,,,,
,,,,,
"R&B/Soul","R&B/Soul","R&B/Soul","R&B/Soul","R&B/Soul","R&B/Soul"
"R&B/Soul","Classic Soul","R&B/Soul","Classic Soul",,
"R&B/Soul","Funk","R&B/Soul","Funk","R&B/Soul","Funk"
"R&B/Soul","New Soul","R&B/Soul","New Soul",,
"R&B/Soul","R&B","R&B/Soul","R&B",,
"R&B/Soul","Soul","R&B/Soul","Soul","R&B/Soul","Soul"
"R&B/Soul","Contemporary R&B",,,"R&B/Soul","Contemporary R&B"
"R&B/Soul","Disco",,,"R&B/Soul","Disco"
"R&B/Soul","Doo Wop",,,"R&B/Soul","Doo Wop"
"R&B/Soul","Motown",,,"R&B/Soul","Motown"
"R&B/Soul","Neo-Soul",,,"R&B/Soul","Neo-Soul"
"R&B/Soul","Quiet Storm",,,"R&B/Soul","Quiet Storm"
,,,,,
,,,,,
,,,,,
"Rap/Hip-Hop","Rap/Hip-Hop","Rap/Hip-Hop","Rap/Hip-Hop","Hip-Hop/Rap","Hip-Hop/Rap"
"Rap/Hip-Hop","Alternative Rap",,,"Hip-Hop/Rap","Alternative Rap"
"Rap/Hip-Hop","Dirty South","Rap/Hip-Hop","Dirty South","Hip-Hop/Rap","Dirty South"
"Rap/Hip-Hop","East Coast Rap","Rap/Hip-Hop","East Coast Rap/Hip-Hop","Hip-Hop/Rap","East Coast Rap"
"Rap/Hip-Hop","Gangsta Rap","Rap/Hip-Hop","Gangsta Rap","Hip-Hop/Rap","Gangsta Rap"
"Rap/Hip-Hop","Hardcore Rap",,,"Hip-Hop/Rap","Hardcore Rap"
"Rap/Hip-Hop","Hip-Hop","Rap/Hip-Hop","Hip-Hop","Hip-Hop/Rap","Hip-Hop"
"Rap/Hip-Hop","Latin Rap",,,"Hip-Hop/Rap","Latin Rap"
"Rap/Hip-Hop","Old School Rap","Rap/Hip-Hop","Old School Rap/Hip-Hop","Hip-Hop/Rap","Old School Rap"
"Rap/Hip-Hop","Rap","Rap/Hip-Hop","Rap","Hip-Hop/Rap","Rap"
"Rap/Hip-Hop","Underground Rap",,,"Hip-Hop/Rap","Underground Rap"
"Rap/Hip-Hop","West Coast Rap","Rap/Hip-Hop","West Coast Rap/Hip-Hop","Hip-Hop/Rap","West Coast Rap"
"Rap/Hip-Hop","Crunk","Rap/Hip-Hop","Crunk",,
"Rap/Hip-Hop","International Rap/Hip-Hop","Rap/Hip-Hop","International Rap/Hip-Hop",,
"Rap/Hip-Hop","Pop Rap/Hip-Hop","Rap/Hip-Hop","Pop Rap/Hip-Hop",,
"Rap/Hip-Hop","Southern Rap/Hip-Hop","Rap/Hip-Hop","Southern Rap/Hip-Hop",,
"Rap/Hip-Hop","Turntablism","Rap/Hip-Hop","Turntablism",,
,,,,,
,,,,,
"Reggae","Reggae","Reggae","Reggae","Reggae","Reggae"
"Reggae","Dancehall","Reggae","Dancehall","Reggae","Dancehall"
"Reggae","Dub","Reggae","Dub","Reggae","Dub"
"Reggae","Ragga","Reggae","Ragga",,
"Reggae","Reggaeton","Reggae","Reggaeton","Reggae","Ska"
"Reggae","Roots","Reggae","Roots","Reggae","Roots Reggae"
"Reggae","Ska","Reggae","Ska",,
,,,,,
,,,,,
"Rock","Rock","Rock","Rock","Rock","Rock"
"Rock","Adult Alternative","Rock","Alternative","Rock","Adult Alternative"
"Rock","American Trad Rock",,,"Rock","American Trad Rock"
"Rock","Arena Rock",,,"Rock","Arena Rock"
"Rock","Blues-Rock",,,"Rock","Blues-Rock"
"Rock","British Invasion",,,"Rock","British Invasion"
"Rock","Death Metal/Black Metal","Rock","Death Metal","Rock","Death Metal/Black Metal"
"Rock","Glam Rock",,,"Rock","Glam Rock"
"Rock","Hair Metal",,,"Rock","Hair Metal"
"Rock","Hard Rock","Rock","Hard Rock","Rock","Hard Rock"
"Rock","Metal","Rock","Metal","Rock","Metal"
"Rock","Jam Bands",,,"Rock","Jam Bands"
"Rock","Prog-Rock/Art Rock",,,"Rock","Prog-Rock/Art Rock"
"Rock","Psychedelic",,,"Rock","Psychedelic"
"Rock","Rock & Roll",,,"Rock","Rock & Roll"
"Rock","Rockabilly",,,"Rock","Rockabilly"
"Rock","Roots Rock",,,"Rock","Roots Rock"
"Rock","Singer/Songwriter",,,"Rock","Singer/Songwriter"
"Rock","Southern Rock",,,"Rock","Southern Rock"
"Rock","Surf","Rock","Surf","Rock","Surf"
"Rock","Tex-Mex",,,"Rock","Tex-Mex"
"Rock","Black Metal","Rock","Black Metal",,
"Rock","Classic Rock","Rock","Classic Rock",,
"Rock","EMO","Rock","EMO",,
"Rock","Glam Rock","Rock","Glam Rock",,
"Rock","Goth","Rock","Goth"," Alternative","Goth Rock"
"Rock","Grunge","Rock","Grunge"," Alternative","Grunge"
"Rock","Grungecore","Rock","Grungecore",,
"Rock","Indie Rock","Rock","Indie Rock"," Alternative","Indie Rock"
"Rock","New Wave","Rock","New Wave"," Alternative","New Wave"
"Rock","Prog Rock","Rock","Prog Rock",,
"Rock","Punk","Rock","Punk"," Alternative","Punk"
"Rock","Rock (Singer/Songwriter)","Rock","Rock (Singer/Songwriter)",,
"Rock","Rockabilly","Rock","Rockabilly",,
"Rock","Thrash/Speedmetal","Rock","Thrash/Speedmetal",,
"Rock","College Rock",,," Alternative","College Rock"
,,,,,
"Soundtrack","Soundtrack","Soundtrack","Soundtrack","Soundtrack","Soundtrack"
"Soundtrack","Film Scores","Soundtrack","Film Scores",,
"Soundtrack","Musicals","Soundtrack","Musicals","Soundtrack","Musicals"
"Soundtrack","TV","Soundtrack","TV","Soundtrack","TV Soundtrack"
"Soundtrack","Foreign Cinema","Soundtrack",,"Soundtrack","Foreign Cinema"
"Soundtrack","Original Score","Soundtrack",,"Soundtrack","Original Score"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Singer/Songwriter","Singer/Songwriter",,,"Singer/Songwriter","Singer/Songwriter"
,"Alternative Folk",,,,"Alternative Folk"
,"Contemporary Folk",,,,"Contemporary Folk"
,"Contemporary Singer/Songwriter",,,,"Contemporary Singer/Songwriter"
,"Folk-Rock",,,,"Folk-Rock"
,"New Acoustic",,,,"New Acoustic"
,"Traditional Folk",,,,"Traditional Folk"
,,,,,
,,,,,
,,,,,
,,,,,
"Spoken Word","Spoken Word","Spoken Word","Spoken Word","Spoken Word","Spoken Word"
"Spoken Word","Lecture","Spoken Word","Lecture",,
"Spoken Word","Poetry","Spoken Word","Poetry",,
"Spoken Word","Poetry Slam","Spoken Word","Poetry Slam",,
"Spoken Word","Speeches","Spoken Word","Speeches",,
,,,,,
,,,,,
"Vocal","Vocal",,,"Vocal","Vocal"
"Vocal","Standards",,,"Vocal","Standards"
"Vocal","Traditional Pop",,,"Vocal","Traditional Pop"
"Vocal","Vocal Jazz",,,"Vocal","Vocal Jazz"
"Vocal","Vocal Pop",,,"Vocal","Vocal Pop"
,,,,,
,,,,,
"World ","World ","World ","World ","World ","World "
"World ","African","World ","African",,
"World ","Afro Beat","World ","Afro Beat","World ","Afro-Beat"
"World ","Afro Pop","World ","Afro Pop","World ","Afro-Pop"
"World ","Asian","World ","Asian","World ",
"World ","Brazilian","World ","Brazilian","Brazilian","Brazilian"
"World ","Caribbean","World ","Caribbean",,
"World ","Celtic","World ","Celtic","World ","Celtic"
"World ","European/Mediterranean","World ","European/Mediterranean",,
"World ","India","World ","India",,
"World ","Middle East","World ","Middle East",,
"World ","Native American","World ","Native American",,
"World ","New Age","World ","New Age",,
"World ","Cajun",,,"World ","Cajun"
"World ","Celtic Folk",,,"World ","Celtic Folk"
"World ","Contemporary Celtic",,,"World ","Contemporary Celtic"
"World ","Drinking Songs",,,"World ","Drinking Songs"
"World ","Indian Pop",,,"World ","Indian Pop"
"World ","Japanese Pop",,,"World ","Japanese Pop"
"World ","Klezmer",,,"World ","Klezmer"
"World ","Polka",,,"World ","Polka"
"World ","Traditional Celtic",,,"World ","Traditional Celtic"
"World ","Worldbeat",,,"World ","Worldbeat"
"World ","Zydeco",,,"World ","Zydeco"
"World ","Caribbean",,,"World ","Caribbean"
"World ","South America",,,"World ","South America"
"World ","Middle East",,,"World ","Middle East"
"World ","North America",,,"World ","North America"
"World ","Hawaii",,,"World ","Hawaii"
"World ","Australia",,,"World ","Australia"
"World ","Japan",,,"World ","Japan"
"World ","France",,,"World ","France"
"World ","Africa",,,"World ","Africa"
"World ","Asia",,,"World ","Asia"
"World ","Europe",,,"World ","Europe"
"World ","South Africa",,,"World ","South Africa"
,,,,,
,,,,,
"Other","J-Pop",,,,"J-Pop"
"Other","Enka",,,,"Enka"
"Other","Anime",,,,"Anime"
"Other","Kayokyoku",,,,"Kayokyoku"
"Other","Fitness & Workout",,,,"Fitness & Workout"
"Other","K-Pop",,,,"K-Pop"
"Other","Karaoke",,,,"Karaoke"
"Other","Instrumental",,,,"Instrumental"
"Other","Brazilian",,,,"Brazilian"
"Other","Axé",,,,"Axé"
"Other","Bossa Nova",,,,"Bossa Nova"
"Other","Choro",,,,"Choro"
"Other","Forró",,,,"Forró"
"Other","Frevo",,,,"Frevo"
"Other","MPB",,,,"MPB"
"Other","Pagode",,,,"Pagode"
"Other","Samba",,,,"Samba"
"Other","Sertanejo",,,,"Sertanejo"
"Other","Baile Funk",,,,"Baile Funk"
"Other","Spoken Word",,,,"Spoken Word"
"Other","Disney",,,,"Disney"
"Other","French Pop",,,,"French Pop"
"Other","German Pop",,,,"German Pop"
"Other","German Folk",,,,"German Folk"
